Country,IncludingNMSCNumber, IncludingNMSCRate,ExcludingNMSCNumber,ExcludingNMSCRate,NumericCode,Latitude,Longitude
Cambodia,"13,799",99.3,"13,682",98.4,116,12.5433216,104.8144914
Cameroon,"12,798",87.3,"12,686",86.5,120,4.6125522,13.1535811
Canada,"100,465",96.4,"99,555",95.7,124,61.0666922,-107.991707
Cabo Verde,285,58.3,285,58.3,132,16.0000552,-24.0083947
Central African Republic,"2,023",79.9,"2,003",79,140,7.0323598,19.9981227
Chad,"7,257",86.2,"7,248",86.1,148,15.6134137,19.0156172
Chile,"31,440",90.1,"31,154",89.5,152,-31.7613365,-71.3187697
China,"2,574,176",96.5,"2,560,612",96,156,35.000074,104.999927
Colombia,"56,719",81.4,"56,048",80.6,170,4.099917,-72.9088133
Comoros,418,75.3,416,74.9,174,-12.2045176,44.2832964
Congo,"1,732",52.9,"1,729",52.8,178,-2.9814344,23.8222636
Costa Rica,"6,072",75.3,"5,994",74.5,188,10.2735633,-84.0739102
Croatia,"13,854",125.7,"13,737",125.1,191,45.3658443,15.6575209
Cuba,"27,724",110.2,"27,304",108.9,192,23.0131338,-80.8328748
Cyprus,"2,837",111.5,"2,806",110.6,196,34.9174159,32.8899027
Czech Republic,"28,071",103.8,"27,882",103.2,203,49.7439047,15.3381061
Denmark,"17,204",106.5,"17,111",106.1,208,55.670249,10.3333283
Djibouti,572,66.7,564,65.7,262,11.8145966,42.8453061
Dominican Republic,"11,744",92,"11,653",91.4,214,19.0974031,-70.3028026
Ecuador,"16,158",76,"15,903",74.9,218,-1.3397668,-79.3666965
Egypt,"95,275",107.7,"94,069",106.3,818,26.2540493,29.2675469
El Salvador,"5,292",64.7,"5,239",64.2,222,13.8000382,-88.9140683
Equatorial Guinea,589,72.1,583,71.2,226,1.613172,10.5170357
Eritrea,"1,724",72.5,"1,697",71.3,232,15.9500319,37.9999668
Estonia,"4,086",114.4,"4,049",113.8,233,58.7523778,25.3319078
Eswatini,697,88.8,686,87.1,748,-26.5624806,31.3991317
Ethiopia,"54,698",74.5,"53,461",72.6,231,10.2116702,38.6521203
Fiji,865,98.5,863,98,242,-18.1239696,179.0122737
Finland,"13,445",79.8,"13,389",79.6,246,63.2467777,25.9209164
French Guiana,233,82.6,233,82.6,254,4.0039882,-52.999998
French Polynesia,481,122.3,481,122.3,258,-17.0243749,-144.6434898
Gabon,"1,094",69.5,"1,088",69,266,-0.8999695,11.6899699
Gambia,899,62.7,899,62.7,270,13.470062,-15.4900464
Georgia,"8,459",111.7,"8,238",109.6,268,32.3293809,-83.1137366
Germany,"253,170",99.7,"251,875",99.4,276,51.1638175,10.4478313
Ghana,"17,944",82.6,"17,838",82.1,288,8.0300284,-1.0800271
Greece,"32,385",100.6,"32,223",100.3,300,38.9953683,21.9877132
Guadeloupe,952,93,951,93,312,16.2528827,-61.5686855
Guam,267,101.1,267,101.1,316,13.4499943,144.7651677
Guatemala,"10,369",71.1,"10,207",70.1,320,15.5855545,-90.345759
Guinea,"6,363",87.5,"6,271",86.2,324,10.7226226,-10.7083587
Guinea-Bissau,849,76.5,838,75.3,624,11.815215,-15.2351044
Guyana,612,70.2,612,70.2,328,4.8417097,-58.6416891
Haiti,"9,014",92.2,"8,972",91.8,332,19.1399952,-72.3570972
Honduras,"7,011",83.3,"6,965",82.7,340,15.2572432,-86.0755145
Hungary,"32,482",143.7,"32,245",142.9,348,47.1817585,19.5060937
Iceland,669,83.2,669,83.2,352,64.9841821,-18.1059013
India,"916,827",64.4,"911,793",64,356,22.3511148,78.6677428
Indonesia,"242,988",82.5,"240,537",81.7,360,-2.4833826,117.8902853
Iran,"87,247",96.5,"86,711",95.9,364,32.6475314,54.5643516
Iraq,"21,536",84.4,"21,428",83.9,368,33.0955793,44.1749775
Ireland,"10,438",98.7,"10,310",97.7,372,52.865196,-7.9794599
Israel,"12,855",83.2,"12,715",82.6,376,30.8124247,34.8594762
Italy,"193,706",94.2,"192,227",93.7,380,42.6384261,12.674297
Jamaica,"4,632",116.6,"4,623",116.4,388,18.1850507,-77.3947693
Japan,"426,278",78.6,"425,025",78.5,392,36.5748441,139.2394179
Jordan,"6,458",84.3,"6,412",83.6,400,31.1667049,36.941628
Kazakhstan,"20,686",92.1,"20,534",91.5,398,48.1012954,66.7780818
Kenya,"29,317",104,"29,091",103.2,404,1.4419683,38.4313975
Kuwait,"1,968",60.2,"1,967",60.1,414,29.2733964,47.4979476
Kyrgyzstan,"4,672",82.8,"4,622",81.8,417,41.5089324,74.724091
Laos,"6,215",109.9,"6,176",109.1,418,20.0171109,103.378253
Latvia,"5,872",122.9,"5,808",122.1,428,56.8406494,24.7537645
Lebanon,"7,307",92.3,"7,178",90.8,422,33.8750629,35.843409
Lesotho,"1,411",82,"1,389",80.6,426,-29.6039267,28.3350193
Liberia,"2,730",84,"2,699",82.9,430,5.7499721,-9.3658524
Libya,"5,316",91.1,"5,291",90.6,434,26.8234472,18.1236723
Lithuania,"8,349",125,"8,294",124.5,440,55.3500003,23.7499997
Luxembourg,"1,093",77.3,"1,089",77.1,442,49.8158683,6.1296751
Madagascar,"14,270",83.6,"14,034",82.2,450,-18.9249604,46.4416422
Malawi,"13,979",117.9,"13,802",116,454,-13.2687204,33.9301963
Malaysia,"31,633",86.3,"31,420",85.7,458,4.5693754,102.2656823
Maldives,241,58.8,241,58.8,462,3.7203503,73.2244152
Mali,"10,678",102.4,"10,541",100.9,466,16.3700359,-2.2900239
Malta,"1,036",81.6,"1,033",81.4,470,35.8885993,14.4476911
Martinique,886,79.3,885,79.3,474,14.6113732,-60.9620777
Mauritania,"2,234",74.8,"2,207",73.8,478,20.2540382,-9.2399263
Mauritius,"1,469",66.6,"1,469",66.6,480,-20.2759451,57.5703566
Mexico,"96,210",63.5,"95,165",62.9,484,23.6585116,-102.0077097
Moldova,"8,148",122.8,"8,099",122.1,498,47.2879608,28.5670941
Mongolia,"4,929",181.5,"4,923",181.3,496,46.8250388,103.8499736
Montenegro,"1,535",121.4,"1,521",120.6,499,42.7755624,19.2022423
Morocco,"36,947",85.9,"36,754",85.5,504,28.3347722,-10.3713379
Mozambique,"19,020",96.3,"18,723",94.5,508,-19.302233,34.9144977
Myanmar,"54,841",97.1,"54,218",95.9,104,17.1750495,95.9999652
Namibia,"1,940",113,"1,873",108.4,516,-23.2335499,17.3231107
Netherlands,"49,790",103.2,"49,653",103,528,52.2434979,5.6343227
New Caledonia,467,113.2,466,113,540,-20.6378428,161.2117626
New Zealand,"11,301",100.2,"11,111",99,554,-41.5000831,172.8344077
Nicaragua,"4,822",76.8,"4,782",76.1,558,12.3506436,-85.7841006
Niger,"8,806",66.1,"8,628",64.7,562,17.7356214,9.3238432
Nigeria,"79,542",74.6,"78,311",73.4,566,9.6000359,7.9999721
North Korea,"42,789",113.9,"42,644",113.5,408,40.3736611,127.0870417
North Macedonia,"4,364",112.5,"4,312",111.4,807,41.6171214,21.7168387
Norway,"13,393",91.8,"13,323",91.5,578,61.1529386,8.7876653
Oman,"2,261",66.3,"2,249",65.8,512,21.0000287,57.0036901
Pakistan,"118,631",69.8,"116,294",68.4,586,30.3308401,71.247499
Panama,"3,770",65.7,"3,740",65.3,591,8.559559,-81.1308434
Papua New Guinea,"7,200",119.8,"6,933",114.3,598,-5.6816069,144.2489081
Paraguay,"6,581",89.9,"6,497",88.9,600,-23.3165935,-58.1693445
Peru,"35,934",82.4,"35,550",81.6,604,-6.8699697,-75.0458515
Philippines,"113,369",112.9,"112,831",112.4,608,12.7503486,122.7312101
Poland,"119,992",133.1,"118,982",132.4,616,52.215933,19.134422
Portugal,"33,762",109,"33,503",108.4,620,39.6621648,-8.1353519
Puerto Rico,"5,796",75,"5,746",74.5,630,18.2247706,-66.4858295
Qatar,782,46.2,781,46.1,634,25.3336984,51.2295295
Réunion,"1,580",95.2,"1,579",95.2,638,-21.1309332,55.5265771
Romania,"56,216",132.5,"55,627",131.5,642,45.9852129,24.6859225
Russian Federation,"311,729",110.5,"310,160",110,643,64.6863136,97.7453061
Rwanda,"4,887",59.4,"4,833",58.7,646,-1.9646631,30.0644358
Saint Lucia,223,76.1,223,76.1,662,13.8250489,-60.975036
Samoa,208,126.3,208,126.3,882,-13.7693895,-172.12005
Sao Tome and Principe,90,68,90,68,678,0.9713095,7.02255
Saudi Arabia,"13,399",46.2,"13,312",45.8,682,25.6242618,42.3528328
Senegal,"8,134",81.6,"8,025",80.4,686,14.4750607,-14.4529612
Serbia,"23,881",128.4,"23,646",127.5,688,44.0243229,21.0765743
Sierra Leone,"1,334",25.5,"1,334",25.5,694,8.6400349,-11.8400269
Singapore,"13,277",110.8,"13,248",110.5,702,1.357107,103.8194992
Slovakia,"15,166",125.7,"15,043",124.9,703,48.7411522,19.4528646
Slovenia,"6,898",116.7,"6,836",116,705,46.1199444,14.8153333
Solomon Islands,365,74.6,365,74.6,90,-8.7053941,159.1070694
Somalia,"8,038",95.5,"7,886",93.6,706,8.3676771,49.083416
South Africa,"64,547",122.5,"63,646",120.8,710,-28.8166236,24.991639
South Korea,"97,615",77,"97,268",76.8,410,36.638392,127.6961188
South Sudan,"5,081",76.3,"5,010",75.1,728,7.8699431,29.6667897
Spain,"115,590",88.8,"114,808",88.4,724,39.3260685,-4.8379791
Sri Lanka,"19,145",59,"18,992",58.5,144,7.5554942,80.7137847
