Country,IncludingNMSCNumberMortality,IncludingNMSCRateMortality,NumericCode,Latitude,Longitude,PrevalenceCases,IncludingNMSCNumberIncidence, IncludingNMSCRateIncidence
Guinea-Bissau,849,76.5,624,11.815215,-15.2351044,43.3,"1,170",100.3
Guyana,612,70.2,328,4.8417097,-58.6416891,88.78,"1,225",142.5
Haiti,"9,014",92.2,332,19.1399952,-72.3570972,67.98,"13,860",141.1
Honduras,"7,011",83.3,340,15.2572432,-86.0755145,76.38,"10,815",128.0
Hungary,"32,482",143.7,348,47.1817585,19.5060937,263.93,"66,340",336.7
Iceland,669,83.2,352,64.9841821,-18.1059013,238.14,"1,777",268.3
India,"916,827",64.4,356,22.3511148,78.6677428,59.52,"1,413,316",98.5
Indonesia,"242,988",82.5,360,-2.4833826,117.8902853,86.56,"408,661",136.9
Iran,"87,247",96.5,364,32.6475314,54.5643516,102.16,"137,198",149.0
Iraq,"21,536",84.4,368,33.0955793,44.1749775,85.77,"37,382",136.6
Ireland,"10,438",98.7,372,52.865196,-7.9794599,304.96,"31,242",344.7
Israel,"12,855",83.2,376,30.8124247,34.8594762,206.44,"30,438",245.8
Italy,"193,706",94.2,380,42.6384261,12.674297,234.38,"436,242",284.5
Jamaica,"4,632",116.6,388,18.1850507,-77.3947693,136.94,"7,500",199.6
Japan,"426,278",78.6,392,36.5748441,139.2394179,217.88,"1,005,157",267.1
Jordan,"6,458",84.3,400,31.1667049,36.941628,104.04,"12,328",152.6
Kazakhstan,"20,686",92.1,398,48.1012954,66.7780818,118.55,"36,225",162.3
Kenya,"29,317",104.0,404,1.4419683,38.4313975,85.57,"44,726",149.1
Kuwait,"1,968",60.2,414,29.2733964,47.4979476,81.37,"4,347",111.4
Kyrgyzstan,"4,672",82.8,417,41.5089324,74.724091,78.42,"7,266",125.8
Laos,"6,215",109.9,418,20.0171109,103.378253,89.38,"9,101",154.5
Latvia,"5,872",122.9,428,56.8406494,24.7537645,229.81,"11,458",288.9
Lebanon,"7,307",92.3,422,33.8750629,35.843409,114.56,"13,034",168.8
Lesotho,"1,411",82.0,426,-29.6039267,28.3350193,62.38,"2,027",115.5
Liberia,"2,730",84.0,430,5.7499721,-9.3658524,54.3,"3,873",115.2
Libya,"5,316",91.1,434,26.8234472,18.1236723,85.15,"8,171",132.3
Lithuania,"8,349",125.0,440,55.3500003,23.7499997,235.8,"16,413",287.9
Luxembourg,"1,093",77.3,442,49.8158683,6.1296751,235.51,"3,440",273.3
Madagascar,"14,270",83.6,450,-18.9249604,46.4416422,60.71,"21,297",117.4
Malawi,"13,979",117.9,454,-13.2687204,33.9301963,78.73,"19,846",159.5
Malaysia,"31,633",86.3,458,4.5693754,102.2656823,107.13,"51,650",142.1
Maldives,241,58.8,462,3.7203503,73.2244152,79.86,479,105.3
Mali,"10,678",102.4,466,16.3700359,-2.2900239,62.78,"15,151",139.9
Malta,"1,036",81.6,470,35.8885993,14.4476911,233.63,"2,855",282.5
Martinique,886,79.3,474,14.6113732,-60.9620777,186.97,"2,057",224.2
Mauritania,"2,234",74.8,478,20.2540382,-9.2399263,58.07,"3,274",105.3
Mauritius,"1,469",66.6,480,-20.2759451,57.5703566,106.68,"2,888",140.0
Mexico,"96,210",63.5,484,23.6585116,-102.0077097,102.1,"207,154",140.9
Moldova,"8,148",122.8,498,47.2879608,28.5670941,162.46,"14,816",232.2
Mongolia,"4,929",181.5,496,46.8250388,103.8499736,139.73,"6,699",235.8
Montenegro,"1,535",121.4,499,42.7755624,19.2022423,183.83,"2,739",238.0
Morocco,"36,947",85.9,504,28.3347722,-10.3713379,95.68,"63,609",149.8
Mozambique,"19,020",96.3,508,-19.302233,34.9144977,60.05,"26,578",128.8
Myanmar,"54,841",97.1,104,17.1750495,95.9999652,75.07,"77,603",135.5
Namibia,"1,940",113.0,516,-23.2335499,17.3231107,120.77,"3,453",193.5
Netherlands,"49,790",103.2,528,52.2434979,5.6343227,298.41,"132,319",341.4
New Caledonia,467,113.2,540,-20.6378428,161.2117626,234.32,"1,149",287.6
New Zealand,"11,301",100.2,554,-41.5000831,172.8344077,332.17,"38,157",427.3
Nicaragua,"4,822",76.8,558,12.3506436,-85.7841006,81.24,"8,409",133.5
Niger,"8,806",66.1,562,17.7356214,9.3238432,34.44,"11,593",83.7
Nigeria,"79,542",74.6,566,9.6000359,7.9999721,58.68,"127,763",113.6
North Korea,"42,789",113.9,408,40.3736611,127.0870417,93.37,"61,533",166.1
North Macedonia,"4,364",112.5,807,41.6171214,21.7168387,146.01,"7,563",206.9
Norway,"13,393",91.8,578,61.1529386,8.7876653,321.11,"40,305",357.9
Oman,"2,261",66.3,512,21.0000287,57.0036901,78.35,"4,045",105.3
Pakistan,"118,631",69.8,586,30.3308401,71.247499,56.63,"185,748",105.6
Panama,"3,770",65.7,591,8.559559,-81.1308434,116.84,"8,353",154.9
Papua New Guinea,"7,200",119.8,598,-5.6816069,144.2489081,101.72,"12,190",188.7
Paraguay,"6,581",89.9,600,-23.3165935,-58.1693445,129.73,"13,783",192.2
Peru,"35,934",82.4,604,-6.8699697,-75.0458515,120.81,"72,827",173.8
Philippines,"113,369",112.9,608,12.7503486,122.7312101,119.99,"188,976",185.4
Poland,"119,992",133.1,616,52.215933,19.134422,208.85,"208,900",262.8
Portugal,"33,762",109.0,620,39.6621648,-8.1353519,235.01,"69,567",294.6
Puerto Rico,"5,796",75.0,630,18.2247706,-66.4858295,187.73,"13,778",226.6
Qatar,782,46.2,634,25.3336984,51.2295295,65.72,"1,733",82.4
Romania,"56,216",132.5,642,45.9852129,24.6859225,209.96,"104,661",276.5
Russian Federation,"311,729",110.5,643,64.6863136,97.7453061,188.08,"635,560",248.1
Rwanda,"4,887",59.4,646,-1.9646631,30.0644358,44.63,"7,122",83.2
Saint Lucia,223,76.1,662,13.8250489,-60.975036,124.8,448,166.8
Samoa,208,126.3,882,-13.7693895,-172.12005,174.99,400,240.0
Sao Tome and Principe,90,68.0,678,0.9713095,7.02255,83.1,144,104.9
Saudi Arabia,"13,399",46.2,682,25.6242618,42.3528328,67.96,"28,113",87.1
Senegal,"8,134",81.6,686,14.4750607,-14.4529612,58.18,"11,841",113.9
Serbia,"23,881",128.4,688,44.0243229,21.0765743,182.67,"42,039",250.4
Sierra Leone,"1,334",25.5,694,8.6400349,-11.8400269,44.41,"1,918",35.9
Singapore,"13,277",110.8,702,1.357107,103.8194992,191.71,"25,250",231.1
Slovakia,"15,166",125.7,703,48.7411522,19.4528646,225.78,"30,913",283.3
Slovenia,"6,898",116.7,705,46.1199444,14.8153333,255.9,"14,402",305.1
Solomon Islands,365,74.6,90,-8.7053941,159.1070694,84.2,684,134.8
Somalia,"8,038",95.5,706,8.3676771,49.083416,38.65,"10,681",121.0
South Africa,"64,547",122.5,710,-28.8166236,24.991639,133.5,"111,321",203.4
South Korea,"97,615",77.0,410,36.638392,127.6961188,192.49,"237,701",234.7
South Sudan,"5,081",76.3,728,7.8699431,29.6667897,43.02,"6,874",99.4
Spain,"115,590",88.8,724,39.3260685,-4.8379791,228.68,"278,729",274.6
Sri Lanka,"19,145",59.0,144,7.5554942,80.7137847,75.14,"33,243",106.9
Sudan,"18,504",64.4,729,14.5844444,29.4917691,47.09,"28,586",95.6
Suriname,626,91.5,740,4.1413025,-56.0771187,120.95,"1,119",169.5
Sweden,"25,569",85.2,752,59.6749712,14.5208584,277.8,"69,261",310.0
Syria,"13,848",91.0,760,34.8147886,38.4231781,74.74,"21,926",138.6
Tajikistan,"4,225",63.9,762,38.6281733,70.8156541,55.69,"6,467",91.7
Tanzania,"29,743",97.1,834,-6.5247123,35.7878438,72.21,"44,931",140.1
Thailand,"118,829",93.4,764,14.8971921,100.83273,105.88,"183,541",154.4
Togo,"3,605",74.0,768,8.7800265,1.0199765,54.26,"5,491",107.5
Trinidad and Tobago,"2,221",96.8,780,10.7466905,-61.0840075,139.39,"3,931",186.7
Tunisia,"12,580",80.2,788,33.8439408,9.400138,90.63,"20,551",135.4
TÃ¼rkiye,"129,672",116.1,792,39.294076,35.2316631,165.05,"240,013",225.9
Turkmenistan,"4,456",82.5,795,39.3763807,59.3924609,79.81,"6,807",122.7
Uganda,"24,629",113.9,800,1.5333554,32.2166578,82.61,"35,968",154.4
Ukraine,"84,153",101.1,804,49.4871968,31.2718321,143.33,"155,239",199.9
United Arab Emirates,"2,283",54.4,784,24.0002488,53.9994829,84.87,"5,526",105.1
United Kingdom,"181,807",98.3,826,54.7023545,-3.2765753,263.24,"454,954",307.8
United States,"605,761",82.3,840,39.7837304,-100.445882,314.59,"2,380,189",367.0
Uruguay,"8,980",128.3,858,-32.8755548,-56.0201525,208.81,"16,817",279.9
Uzbekistan,"22,071",71.5,860,41.32373,63.9528098,74.48,"35,900",112.7
Vanuatu,151,67.8,548,-16.5255069,168.1069154,77.79,250,108.2
Venezuela,"31,737",91.3,862,8.0018709,-66.1109318,121.56,"62,947",184.8
Vietnam,"120,184",99.0,704,15.9266657,107.9650855,95.39,"180,480",150.8
Yemen,"11,854",63.7,887,16.3471243,47.8915271,40.48,"16,525",83.1
Switzerland,"19,420",78.8,756,46.7985624,8.2319736,259.39,"58,330",292.7
Nepal,"14,704",55.3,524,28.3780464,83.9999901,45.39,"22,008",81.6
Zambia,"9,770",109.2,894,-14.5189121,27.5589884,85.57,"15,296",159.5
Zimbabwe,"11,739",144.0,716,-18.4554963,29.7468414,113.77,"17,725",208.0
