Country,Continent,Male,Female,Total Cancer Patients
Serbia,Europe,"22,910","19,129","42,039"
Sierra Leone,Africa,874,"1,044","1,918"
Singapore,Asia,"13,342","11,908","25,250"
Slovakia,Europe,"16,698","14,215","30,913"
Slovenia,Europe,"7,838","6,564","14,402"
Solomon Islands,Oceania,279,405,684
Somalia,Africa,"3,998","6,683","10,681"
South Africa,Africa,"52,379","58,942","111,321"
South Korea,Asia,"128,045","109,656","237,701"
South Sudan,Africa,"2,857","4,017","6,874"
Spain,Europe,"158,410","120,319","278,729"
Sri Lanka,Asia,"15,733","17,510","33,243"
Sudan,Africa,"11,326","17,260","28,586"
Suriname,South America,571,548,"1,119"
Sweden,Europe,"37,869","31,392","69,261"
Syria,Asia,"10,179","11,747","21,926"
Tajikistan,Asia,"2,949","3,518","6,467"
Tanzania,Africa,"18,215","26,716","44,931"
Thailand,Asia,"90,333","93,208","183,541"
Togo,Africa,"2,396","3,095","5,491"
Trinidad and Tobago,North America,"1,969","1,962","3,931"
Tunisia,Africa,"11,441","9,110","20,551"
TÃƒÆ’Ã‚Â¼rkiye,Asia,"132,476","107,537","240,013"
Turkmenistan,Asia,"3,047","3,760","6,807"
Uganda,Africa,"15,459","20,509","35,968"
Ukraine,Europe,"75,825","79,414","155,239"
United Arab Emirates,Asia,"2,607","2,919","5,526"
United Kingdom,Europe,"242,245","212,709","454,954"
United States,North America,"1,283,898","1,096,291","2,380,189"
Uruguay,South America,"8,579","8,238","16,817"
Uzbekistan,Asia,"16,035","19,865","35,900"
Vanuatu,Oceania,105,145,250
Venezuela,South America,"31,374","31,573","62,947"
Vietnam,Asia,"95,358","85,122","180,480"
Yemen,Asia,"7,213","9,312","16,525"
Switzerland,Europe,"31,996","26,334","58,330"
Nepal,Asia,"9,792","12,216","22,008"
Zambia,Africa,"6,433","8,863","15,296"
Zimbabwe,Africa,"6,505","11,220","17,725"
